description,website,label
"Apply now for immediate joining. Earn 50000 per month. No experience needed.","","1"
"Software Engineering Intern at Google. 3 month internship with mentorship.","https://careers.google.com","0"
"Urgent hiring!!! Limited slots available. Work from home and earn fast.","","1"
"Data Analyst Intern at Infosys with structured training.","https://www.infosys.com","0"
"Software Development Intern at a multinational IT company. 6 month internship with stipend and mentorship.","https://www.tcs.com","0"
"Marketing Intern at a startup. Structured learning program and certificate provided.","https://www.startupindia.gov.in","0"
"Data Science Intern role involving Python, pandas, and ML basics. Onsite internship.","https://www.ibm.com","0"
"Cybersecurity Intern at a consulting firm. Exposure to SOC operations and audits.","https://www.deloitte.com","0"
"AI Research Intern under senior engineers. Prior ML knowledge required.","https://www.microsoft.com","0"

"Urgent hiring! Earn 40000 per month. No skills required. Apply immediately.","","1"
"Work from home internship. Registration fee mandatory before joining.","","1"
"Immediate joining guaranteed. Training + placement assured. Limited seats.","","1"
"Part time internship. Earn fast money using your mobile phone.","","1"
"Congratulations! You are selected. Pay onboarding charges to proceed.","","1"

"Data Analyst Internship. Work from home. Stipend based on performance.","https://example.com","1"
"Business Development Internship. Flexible hours. Details will be shared later.","","1"
"Internship opportunity for students. Great exposure and growth.","","1"
"Remote internship. Shortlisting based on interview. Certificate provided.","https://unknowncompany.com","1"
"IT Internship. Hands-on experience promised. Contact via WhatsApp.","","1"
